area,date,pm25,aqi
Velachery,2026-06-22,50.0,119
Velachery,2026-06-23,36.8,92
Velachery,2026-06-24,36.7,95
Adyar,2026-05-26,38.7,92
Adyar,2026-05-27,26.7,74
Adyar,2026-05-28,28.5,80
Adyar,2026-05-29,30.8,74
Adyar,2026-05-30,37.5,89
Adyar,2026-05-31,25.6,61
Adyar,2026-06-01,33.5,80
Adyar,2026-06-02,31.0,92
Adyar,2026-06-03,31.9,75
Adyar,2026-06-04,31.4,67
Adyar,2026-06-05,35.7,82
Adyar,2026-06-06,32.6,75
Adyar,2026-06-07,36.1,88
Adyar,2026-06-08,33.6,81
Adyar,2026-06-09,28.8,73
Adyar,2026-06-10,32.7,78
Adyar,2026-06-11,32.0,87
Adyar,2026-06-12,36.0,78
Adyar,2026-06-13,27.2,74
Adyar,2026-06-14,35.2,81
Adyar,2026-06-15,36.0,80
Adyar,2026-06-16,37.3,86
Adyar,2026-06-17,40.8,84
Adyar,2026-06-18,25.3,78
Adyar,2026-06-19,35.8,92
Adyar,2026-06-20,36.3,80
Adyar,2026-06-21,23.1,67
Adyar,2026-06-22,24.5,67
Adyar,2026-06-23,35.0,83
Adyar,2026-06-24,28.6,82
Mylapore,2026-05-26,28.8,71
Mylapore,2026-05-27,35.9,86
Mylapore,2026-05-28,38.7,95
Mylapore,2026-05-29,39.1,96
Mylapore,2026-05-30,35.6,94
Mylapore,2026-05-31,36.0,88
Mylapore,2026-06-01,37.4,96
Mylapore,2026-06-02,36.9,94
Mylapore,2026-06-03,38.1,89
Mylapore,2026-06-04,25.7,74
Mylapore,2026-06-05,24.3,78
Mylapore,2026-06-06,36.1,84
Mylapore,2026-06-07,35.7,87
Mylapore,2026-06-08,43.5,98
Mylapore,2026-06-09,39.8,89
Mylapore,2026-06-10,33.8,90
Mylapore,2026-06-11,29.7,85
Mylapore,2026-06-12,32.1,82
Mylapore,2026-06-13,43.7,96
Mylapore,2026-06-14,32.8,78
Mylapore,2026-06-15,34.1,81
Mylapore,2026-06-16,30.1,88
Mylapore,2026-06-17,37.2,97
Mylapore,2026-06-18,31.1,85
Mylapore,2026-06-19,35.2,84
Mylapore,2026-06-20,36.4,88
Mylapore,2026-06-21,41.1,92
Mylapore,2026-06-22,30.5,87
Mylapore,2026-06-23,38.4,98
Mylapore,2026-06-24,40.7,98
