area,date,complaint
Velachery,2026-06-07,Streetlight not working
Velachery,2026-06-07,Streetlight not working
Velachery,2026-06-07,Heavy traffic
Velachery,2026-06-08,Streetlight not working
Velachery,2026-06-08,Road damage
Velachery,2026-06-08,Garbage not collected
Velachery,2026-06-08,Streetlight not working
Velachery,2026-06-09,Open drainage
Velachery,2026-06-12,No water supply
Velachery,2026-06-13,Road damage
Velachery,2026-06-14,Open drainage
Velachery,2026-06-14,Water leakage
Velachery,2026-06-14,Water leakage
Velachery,2026-06-16,Road damage
Velachery,2026-06-17,Streetlight not working
Velachery,2026-06-19,Streetlight not working
Velachery,2026-06-19,Noise pollution
Velachery,2026-06-20,Open drainage
Velachery,2026-06-20,Garbage not collected
Velachery,2026-06-20,Heavy traffic
Velachery,2026-06-21,Streetlight not working
Velachery,2026-06-21,Water leakage
Velachery,2026-06-22,Garbage not collected
Velachery,2026-06-23,Water leakage
Velachery,2026-06-23,Streetlight not working
Velachery,2026-06-24,No water supply
Velachery,2026-06-24,Road damage
Velachery,2026-06-24,Open drainage
Adyar,2026-05-26,Noise pollution
Adyar,2026-05-28,Noise pollution
Adyar,2026-05-28,Garbage not collected
Adyar,2026-05-29,Heavy traffic
Adyar,2026-05-29,Water leakage
Adyar,2026-05-30,Open drainage
Adyar,2026-05-31,Water leakage
Adyar,2026-05-31,No water supply
Adyar,2026-06-01,Heavy traffic
Adyar,2026-06-01,Heavy traffic
Adyar,2026-06-02,Streetlight not working
Adyar,2026-06-02,Heavy traffic
Adyar,2026-06-02,Garbage not collected
Adyar,2026-06-03,Garbage not collected
Adyar,2026-06-03,Water leakage
Adyar,2026-06-03,Heavy traffic
Adyar,2026-06-05,Open drainage
Adyar,2026-06-05,Noise pollution
Adyar,2026-06-06,Noise pollution
Adyar,2026-06-07,Garbage not collected
Adyar,2026-06-07,Streetlight not working
Adyar,2026-06-08,No water supply
Adyar,2026-06-08,Heavy traffic
Adyar,2026-06-09,No water supply
Adyar,2026-06-10,Water leakage
Adyar,2026-06-11,Water leakage
Adyar,2026-06-12,Garbage not collected
Adyar,2026-06-12,Heavy traffic
Adyar,2026-06-14,Water leakage
Adyar,2026-06-17,Noise pollution
Adyar,2026-06-17,Garbage not collected
Adyar,2026-06-17,Water leakage
Adyar,2026-06-19,No water supply
Adyar,2026-06-19,Heavy traffic
Adyar,2026-06-19,Water leakage
Adyar,2026-06-19,Noise pollution
Adyar,2026-06-19,No water supply
Adyar,2026-06-19,Water leakage
Adyar,2026-06-21,Streetlight not working
Adyar,2026-06-21,Streetlight not working
Adyar,2026-06-24,Water leakage
Adyar,2026-06-24,Road damage
Adyar,2026-06-24,No water supply
Mylapore,2026-05-26,Garbage not collected
Mylapore,2026-05-26,Water leakage
Mylapore,2026-05-27,Water leakage
Mylapore,2026-05-29,Noise pollution
Mylapore,2026-05-31,Water leakage
Mylapore,2026-06-01,Water leakage
Mylapore,2026-06-01,Streetlight not working
Mylapore,2026-06-01,Streetlight not working
Mylapore,2026-06-02,No water supply
Mylapore,2026-06-03,Water leakage
Mylapore,2026-06-03,Heavy traffic
Mylapore,2026-06-03,Streetlight not working
Mylapore,2026-06-03,Heavy traffic
Mylapore,2026-06-04,Streetlight not working
Mylapore,2026-06-06,No water supply
Mylapore,2026-06-06,Streetlight not working
Mylapore,2026-06-06,Noise pollution
Mylapore,2026-06-07,Water leakage
Mylapore,2026-06-09,Garbage not collected
Mylapore,2026-06-09,Heavy traffic
Mylapore,2026-06-10,Open drainage
Mylapore,2026-06-11,Water leakage
Mylapore,2026-06-11,Road damage
Mylapore,2026-06-11,Noise pollution
Mylapore,2026-06-11,Open drainage
Mylapore,2026-06-13,No water supply
Mylapore,2026-06-13,Garbage not collected
Mylapore,2026-06-14,Road damage
Mylapore,2026-06-15,Streetlight not working
Mylapore,2026-06-15,Noise pollution
Mylapore,2026-06-15,No water supply
Mylapore,2026-06-17,No water supply
Mylapore,2026-06-19,Open drainage
Mylapore,2026-06-19,No water supply
Mylapore,2026-06-20,Open drainage
Mylapore,2026-06-20,Streetlight not working
Mylapore,2026-06-21,Streetlight not working
Mylapore,2026-06-21,Water leakage
Mylapore,2026-06-22,Noise pollution
Mylapore,2026-06-22,Heavy traffic
Mylapore,2026-06-23,Water leakage
Mylapore,2026-06-23,No water supply
Mylapore,2026-06-23,No water supply
Mylapore,2026-06-23,Noise pollution
Mylapore,2026-06-24,Noise pollution
Mylapore,2026-06-24,Streetlight not working
